"lat","long","presence","year","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
60.420083,22.440838,0,2024,5.875,5.29166650772095,4.25,6,3.875,5.04166650772095,5,NA,3.25,3.79166674613953,5.16666650772095,4.875,4.58333349227905,5.08333349227905,17.8333339691162,17.1666660308838,17.6666660308838,17.5,18.6666660308838
60.723897,24.725161,0,2024,5.04166650772095,4.83333349227905,4.25,5.29166650772095,2.66666674613953,4.08333349227905,NA,4.58333349227905,4.25,4.83333349227905,4.95833349227905,4.66666650772095,3.91666674613953,4.875,17.8333339691162,18.5,18,17.8333339691162,17.3333339691162
60.723897,24.725161,0,2024,5.04166650772095,5.29166650772095,3.25,1.33333337306976,4.875,4.58333349227905,5.875,3.91666674613953,4.29166650772095,5.04166650772095,3.875,4.16666650772095,5.08333349227905,3.70833325386047,NA,18.5,17.6666660308838,17.6666660308838,17.6666660308838
60.723897,24.725161,0,2024,5.04166650772095,5.29166650772095,4.20833349227905,5.16666650772095,4.79166650772095,4.875,4.79166650772095,5.5,3.70833325386047,4.25,4.58333349227905,4.58333349227905,4.25,4.58333349227905,NA,18.5,18,17.6666660308838,18.6666660308838
60.723897,24.725161,0,2024,5.04166650772095,5.29166650772095,5,5.875,4.20833349227905,5.08333349227905,5.25,4.58333349227905,4.125,3.91666674613953,3.875,4.25,4.70833349227905,4.875,NA,18.5,17.6666660308838,17.6666660308838,16.1666660308838
60.723897,24.725161,0,2024,5.04166650772095,4.83333349227905,4.16666650772095,4.66666650772095,4.29166650772095,3.33333325386047,5.16666650772095,5,4.58333349227905,3.875,6.16666650772095,4.08333349227905,6.08333349227905,4.54166650772095,NA,18.5,18,18.1666660308838,18.1666660308838
60.723897,24.725161,0,2024,5.04166650772095,4.83333349227905,3.20833325386047,4.45833349227905,5.16666650772095,6.08333349227905,2.75,NA,5.04166650772095,2.79166674613953,4.79166650772095,5.29166650772095,3.91666674613953,6.04166650772095,NA,18.5,17.6666660308838,16.8333339691162,16.8333339691162
61.453186,22.860734,0,2024,4.58333349227905,4.70833349227905,3.25,4.875,2.875,4.33333349227905,NA,4.58333349227905,NA,4.04166650772095,5.625,6,5.08333349227905,5.75,NA,18.5,18,17.5,NA
60.415996,24.387556,0,2024,5.5,4.70833349227905,4.20833349227905,4.58333349227905,5.16666650772095,3.875,4.29166650772095,3.91666674613953,4.625,4.04166650772095,4.41666650772095,4.875,4.75,5.875,NA,18.5,17.6666660308838,17.8333339691162,17
61.453186,22.860734,0,2024,4.58333349227905,4.70833349227905,5,NA,5.25,3.58333325386047,3.95833325386047,5.75,4.375,4.20833349227905,4.875,4.58333349227905,4.29166650772095,3.33333325386047,NA,17.6666660308838,18,17.6666660308838,17
